,RightSupramarginalGyrus,RightPrecuneus,RightPrecentralGyrusMedialSegment,RightPosteriorCingulateGyrus,RightMiddleTemporalGyrus,RightHippocampus,RightAngularGyrus,RightAmygdala,LeftPrecuneus,LeftMiddleOccipitalGyrus,LeftHippocampus,LeftAmygdala
0,5830.553597214682,8051.629950301265,1927.083020394861,3247.4321915895684,10588.149435245032,2373.5716820000002,6430.2927649889525,835.1082277,8035.192392666267,3906.3354456016386,2484.542816,912.1827247000001
1,5830.553597214682,8051.629950301265,1927.083020394861,3247.4321915895684,10588.149435245032,2317.5048829999996,6430.2927649889525,800.650949,8035.192392666267,3906.3354456016386,2375.575395,819.4060195000001
2,5830.553597214682,8051.629950301265,1927.083020394861,3247.4321915895684,10588.149435245032,2235.465657,6430.2927649889525,750.1589654,8035.192392666267,3906.3354456016386,2434.84312,817.8606609
3,5830.553597214682,8051.629950301265,1927.083020394861,3247.4321915895684,10588.149435245032,2573.327088,6430.2927649889525,1033.417235,8035.192392666267,3906.3354456016386,3116.8181870000003,1134.3623400000001
4,5830.553597214682,8051.629950301265,1927.083020394861,3247.4321915895684,10588.149435245032,2540.797779,6430.2927649889525,919.9890537,8035.192392666267,3906.3354456016386,2991.6511800000003,1123.1614650000001
5,5830.553597214682,8051.629950301265,1927.083020394861,3247.4321915895684,10588.149435245032,2165.582007,6430.2927649889525,911.8469545,8035.192392666267,3906.3354456016386,3059.004507,958.6167230000001
6,5830.553597214682,8051.629950301265,1927.083020394861,3247.4321915895684,10588.149435245032,2504.769627,6430.2927649889525,890.278258,8035.192392666267,3906.3354456016386,3183.378779,1141.3224890000001
7,5830.553597214682,8051.629950301265,1927.083020394861,3247.4321915895684,10588.149435245032,2502.073111,6430.2927649889525,944.2794287,8035.192392666267,3906.3354456016386,3173.852837,1189.7074109999999
8,5830.553597214682,8051.629950301265,1927.083020394861,3247.4321915895684,10588.149435245032,2457.279585,6430.2927649889525,962.4075443,8035.192392666267,3906.3354456016386,3100.297678,1050.09183
9,5830.553597214682,8051.629950301265,1927.083020394861,3247.4321915895684,10588.149435245032,2391.208593,6430.2927649889525,947.7514957000001,8035.192392666267,3906.3354456016386,3177.866963,1106.71761
10,5830.553597214682,8051.629950301265,1927.083020394861,3247.4321915895684,10588.149435245032,2035.1604129999998,6430.2927649889525,689.9992613,8035.192392666267,3906.3354456016386,2279.44377,743.9845336
11,5830.553597214682,8051.629950301265,1927.083020394861,3247.4321915895684,10588.149435245032,2056.729343,6430.2927649889525,639.6847305,8035.192392666267,3906.3354456016386,2085.2314079999996,587.4309453
12,5830.553597214682,8051.629950301265,1927.083020394861,3247.4321915895684,10588.149435245032,1930.268491,6430.2927649889525,535.2974719,8035.192392666267,3906.3354456016386,1997.383731,560.861111
13,5830.553597214682,8051.629950301265,1927.083020394861,3247.4321915895684,10588.149435245032,3193.241693,6430.2927649889525,950.0385867000001,8035.192392666267,3906.3354456016386,2481.128384,801.7971
14,5830.553597214682,8051.629950301265,1927.083020394861,3247.4321915895684,10588.149435245032,3054.945712,6430.2927649889525,1025.239634,8035.192392666267,3906.3354456016386,2527.619212,852.3441927000001
15,5830.553597214682,8051.629950301265,1927.083020394861,3247.4321915895684,10588.149435245032,3006.342732,6430.2927649889525,928.8813941999999,8035.192392666267,3906.3354456016386,2338.6369,700.5726612000001
16,5830.553597214682,8051.629950301265,1927.083020394861,3247.4321915895684,10588.149435245032,3022.429768,6430.2927649889525,958.6658687,8035.192392666267,3906.3354456016386,2361.506227,697.0944017999999
17,5830.553597214682,8051.629950301265,1927.083020394861,3247.4321915895684,10588.149435245032,2494.7768760000004,6430.2927649889525,978.5802292000001,8035.192392666267,3906.3354456016386,3294.0785769999998,1170.1321039999998
